state-ut,ration-card,voter-id,passport,aadhar,any-combination,others,all
Andhra Pradesh,27.1,5.2,0.0,4.7,62.5,0.4,100
Arunachal Pradesh,2.4,1.9,NA,26.6,28.4,40.7,100
Assam,3.4,53.3,0.1,0.9,36.9,5.5,100
Bihar,15.6,27.0,0.0,14.9,41.4,1.1,100
Chhattisgarh,10.6,22.1,0.1,3.9,63.3,0.0,100
Delhi,3.2,9.7,NA,7.3,76.2,3.5,100
Goa,17.0,1.1,NA,6.5,74.8,0.5,100
Gujarat,12.7,3.0,NA,3.7,76.2,4.4,100
Haryana,41.3,3.0,0.0,3.7,47.3,4.7,100
Himachal Pradesh,45.3,0.5,NA,0.2,52.7,1.3,100
Jharkhand,8.2,9.6,NA,9.4,66.3,6.4,100
Karnataka,11.6,12.2,0.0,3.3,68.5,4.5,100
Kerala,25.0,2.9,0.1,0.4,71.3,0.3,100
Madhya Pradesh,38.5,7.2,0.0,3.6,50.1,0.5,100
Maharashtra,27.2,5.2,0.2,6.8,58.2,2.4,100
Manipur,NA,27.6,NA,NA,72.4,NA,100
Meghalaya,32.8,4.8,NA,0.4,58.9,3.0,100
Mizoram,4.9,0.2,0.0,0.2,92.8,1.9,100
Nagaland,5.0,42.1,1.0,16.7,31.7,3.5,100
Odisha,33.7,16.6,NA,6.1,42.9,0.8,100
Punjab,17.1,9.8,0.0,7.1,65.0,1.0,100
Rajasthan,35.8,1.4,0.0,0.8,61.6,0.4,100
Sikkim,2.9,2.8,NA,2.0,88.8,3.4,100
Tamil Nadu,22.0,0.5,0.0,1.1,75.7,0.7,100
Telangana,19.7,13.5,0.1,1.4,65.1,0.2,100
Tripura,23.9,5.0,0.0,3.0,65.3,2.8,100
Uttarakhand,6.1,7.6,0.1,3.5,81.8,1.0,100
Uttar Pradesh,18.9,10.1,0.0,5.6,62.3,3.1,100
West Bengal,39.2,4.7,0.0,0.6,55.3,0.1,100
A & N Islands,17.0,1.1,NA,2.7,77.7,1.5,100
Chandigarh,5.9,2.8,4.5,68.7,16.4,1.7,100
Dadra & Nagar Haveli and Daman & Diu,17.5,1.2,NA,24.0,37.9,19.3,100
Jammu & Kashmir,24.8,0.7,NA,0.1,74.2,0.2,100
Ladakh,0.5,NA,NA,NA,71.9,27.6,100
Lakshadweep,54.2,2.8,NA,NA,42.5,0.5,100
Puducherry,27.3,0.2,NA,NA,72.5,NA,100
All-India,24.6,7.7,0.1,3.9,62.0,1.8,100
