State/UT,migrant-percent,01,02,03,04,05,06,07,08,10,11,12,13,14,15,16,17,18,19,all,Latitude,Longitude
Andhra Pradesh,35.0,1.6,5.5,0.7,2.4,1.2,0.5,5.6,56.1,0.5,0.0,0.0,0.8,1.3,0.6,0.2,0.1,14.7,8.1,100,15.9129,79.73999
Arunachal Pradesh,1.4,3.7,19.5,1.4,2.4,3.6,0.6,23.9,29.1,0.3,nan,nan,nan,1.2,nan,nan,nan,13.2,1.2,100,28.2180,94.7278
Assam,22.4,1.3,2.9,0.3,1.1,0.9,0.3,1.1,84.6,0.2,nan,0.0,0.3,0.8,0.2,0.2,0.3,4.2,1.2,100,26.2006,92.9376
Bihar,19.1,0.8,4.4,0.4,0.8,0.3,0.1,2.3,86.4,0.1,0.0,nan,0.2,0.2,0.5,0.3,0.1,1.6,1.6,100,25.0961,85.3131
Chhattisgarh,30.7,2.0,3.0,0.2,0.9,0.9,1.4,1.8,75.8,0.2,0.0,nan,0.9,0.4,0.2,0.2,nan,8.7,3.4,100,21.2787,81.8661
Delhi,32.5,11.8,12.4,0.3,2.3,0.5,1.3,1.6,31.7,0.2,0.4,nan,5.3,3.4,0.1,0.0,0.0,25.6,3.0,100,28.6139,77.2090
Goa,23.5,16.2,2.9,0.7,2.8,0.4,nan,1.1,62.6,nan,nan,nan,0.4,1.0,nan,0.3,nan,10.5,1.0,100,15.2993,74.1240
Gujarat,25.6,5.2,6.2,0.5,1.6,0.6,0.2,0.9,66.5,0.2,0.0,0.0,0.6,0.2,0.1,0.2,0.0,15.3,1.6,100,22.2587,71.1924
Haryana,25.5,3.4,3.6,0.1,0.8,1.1,0.3,1.0,77.9,0.4,nan,0.0,0.2,1.0,0.0,0.0,0.2,9.6,0.5,100,29.0588,76.0856
Himachal Pradesh,45.7,2.6,3.8,0.4,2.6,3.1,0.5,3.4,61.8,0.7,0.1,0.0,0.4,1.0,1.3,2.7,0.5,10.3,4.9,100,31.1048,77.1734
Jharkhand,31.6,2.4,3.7,0.2,1.2,0.8,0.3,1.6,77.3,0.3,0.0,0.0,0.3,0.4,0.2,0.3,0.0,7.3,3.4,100,23.6102,85.2799
Karnataka,22.3,2.7,7.0,0.7,2.5,0.9,0.1,3.4,71.5,0.1,0.0,0.0,0.4,0.3,1.1,0.1,0.1,7.5,1.5,100,15.3173,75.7139
Kerala,38.4,0.7,4.1,0.3,2.8,2.6,0.9,1.7,49.1,0.4,0.0,0.1,3.5,2.0,2.2,2.0,0.1,14.5,13.0,100,10.8505,76.2711
Madhya Pradesh,24.6,1.5,2.5,0.2,1.2,1.4,0.1,2.5,78.2,0.2,0.1,0.0,1.0,1.0,0.2,0.2,0.5,6.9,2.4,100,22.9734,78.6569
Maharashtra,35.6,6.5,5.1,0.5,1.6,1.4,0.6,2.6,60.4,0.1,0.1,0.0,2.1,0.5,0.2,0.4,0.2,15.8,1.8,100,19.7515,75.7139
Manipur,0.2,nan,nan,nan,0.8,1.3,nan,6.7,13.1,nan,nan,nan,1.3,24.8,nan,nan,nan,nan,52.0,100,24.6637,93.9063
Meghalaya,1.5,3.7,8.6,0.9,2.8,3.3,0.3,6.3,64.8,nan,nan,nan,0.2,0.7,nan,nan,nan,8.3,0.2,100,25.4670,91.3662
Mizoram,13.6,3.8,13.5,1.7,2.9,8.0,0.4,21.7,16.8,0.7,nan,nan,1.0,0.3,0.0,0.0,nan,25.2,4.0,100,23.1645,92.9376
Nagaland,19.6,3.9,3.0,2.1,11.6,6.0,0.9,23.7,20.9,0.1,nan,0.0,0.8,0.1,0.8,0.6,0.4,9.0,16.1,100,26.1584,94.5624
Odisha,32.8,1.4,4.0,0.2,2.3,1.0,0.3,3.5,75.7,0.5,0.0,nan,0.1,0.5,0.4,0.3,0.1,4.2,5.3,100,20.9517,85.0985
Punjab,35.8,1.7,5.4,0.2,1.3,1.0,0.2,1.3,69.8,0.6,0.1,nan,0.8,1.8,0.3,0.5,0.0,13.0,2.1,100,31.1471,75.3412
Rajasthan,27.2,1.5,3.4,0.1,1.0,0.9,0.1,2.6,80.0,0.6,0.0,nan,0.2,0.1,0.5,0.3,0.0,6.1,2.5,100,27.0238,74.2179
Sikkim,10.8,6.3,6.7,1.4,3.6,1.5,0.5,17.9,52.9,0.3,nan,nan,0.1,nan,0.7,0.6,nan,1.7,6.0,100,27.5330,88.5122
Tamil Nadu,33.7,1.5,4.9,0.6,4.8,1.2,0.5,3.0,58.6,0.4,0.2,0.1,1.8,4.2,0.9,0.1,0.1,15.0,2.2,100,11.1271,78.6569
Telangana,37.1,3.7,7.3,0.8,3.5,0.8,0.2,5.1,59.8,0.2,0.0,nan,0.2,0.0,0.3,0.1,nan,16.2,1.7,100,18.1124,79.0193
Tripura,28.4,0.2,0.5,0.3,0.5,0.7,0.2,0.9,85.9,5.3,0.0,nan,0.7,1.5,0.1,0.0,nan,2.4,0.8,100,23.9408,91.9882
