State/UT,Rural,Urban,All,Latitude,Longitude
Andhra Pradesh,33.3,38.9,35.0,15.9129,79.73999
Arunachal Pradesh,1.4,1.4,1.4,28.2180,94.7278
Assam,21.1,33.3,22.4,26.2006,92.9376
Bihar,18.5,24.7,19.1,25.0961,85.3131
Chhattisgarh,28.8,36.9,30.7,21.2787,81.8661
Delhi,32.7,32.5,32.5,28.6139,77.2090
Goa,19.3,26.2,23.5,15.2993,74.1240
Gujarat,21.9,31.1,25.6,22.2587,71.1924
Haryana,22.1,31.5,25.5,29.0588,76.0856
Himachal Pradesh,43.9,64.0,45.7,31.1048,77.1734
Jharkhand,29.4,39.3,31.6,23.6102,85.2799
Karnataka,20.0,26.1,22.3,15.3173,75.7139
Kerala,38.6,38.2,38.4,10.8505,76.2711
Madhya Pradesh,23.1,28.5,24.6,22.9734,78.6569
Maharashtra,32.4,40.4,35.6,19.7515,75.7139
Manipur,0.2,0.2,0.2,24.6637,93.9063
Megahlaya,0.7,5.8,1.5,25.4670,91.3662
Mizoram,10.6,17.4,13.6,23.1645,92.9376
Nagaland,15.4,30.6,19.6,26.1584,94.5624
Odisha,32.0,37.5,32.8,20.9517,85.0985
Punjab,32.8,40.6,35.8,31.1471,75.3412
Rajasthan,27.3,27.0,27.2,27.0238,74.2179
Sikkim,11.4,8.9,10.8,27.5330,88.5122
Tamil Nadu,29.7,38.4,33.7,11.1271,78.6569
Telengana,31.6,45.2,37.1,18.1124,79.0193
Tripura,26.7,34.3,28.4,23.9408,91.9882
Uttarakhand,33.0,40.1,34.7,30.0668,79.0193
Uttar Pradesh,26.3,30.8,27.2,26.8467,80.9462
West Bengal,31.9,38.2,33.7,22.9868,87.8550
A & N Islands,43.4,52.7,47.0,11.7401,92.6586
Chandigarh,62.7,52.5,53.1,30.7333,76.7794
Dadra & Nagar Haveli & Daman & Diu,30.0,63.2,48.4,20.1809,73.0169
Jammu & Kashmir,16.3,29.9,19.2,33.7782,76.5762
Ladakh,12.6,35.1,14.9,34.2268,77.5619
Lakshadweep,21.6,32.2,29.4,10.3280,72.7846
Puducherry,10.9,9.5,10.0,11.9416,79.8083
